会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ウィルグループ,6089,サービス業,プライム（内国株式）,2025-03-31,東京都,22974754816,1.3663267,139705000000.0,2339000000.0,0.01122,1155000000.0,0.00977,0.078779995,0.348376499809707,,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.1958671609790641
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,2025-06-30,山形県,3866157824,2.038666,1455004000.0,249521000.0,-0.55026,256420000.0,0.17594999,0.13292,0.803752368286626,20.147491,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.37085449308341534
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,2024-07-31,岡山県,11138236416,0.69454443,15725320000.0,942252000.0,0.01313,768062000.0,0.04803,0.04773,0.779261425491288,,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.9346695483178367
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,2025-03-31,東京都,4503661056,0.4923112,10668079000.0,839455000.0,0.0484,452689000.0,0.01095,0.00857,0.43129400425796366,,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.5375849269950034
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,2025-02-28,東京都,5835860992,1.7068977,4741362000.0,482405000.0,0.10444,349113000.0,0.05174,0.07147,0.7468997457208667,12.761905,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.4188712690982479
フリークアウト・ホールディングス,6094,サービス業,グロース（内国株式）,2024-09-30,東京都,8827268096,0.8487759,51711413000.0,1658000.0,-0.01082,-3190273000.0,-0.013940001,-0.05171,0.3169763805122616,11.390135,24665392000.0,16997755000.0,31252343000.0,15102621000.0,19821084000.0,3607180000.0,9111977000.0,1.0322533428127116
メドピア,6095,サービス業,プライム（内国株式）,2024-09-30,東京都,15123584000,1.5431927,14948380000.0,1291460000.0,0.04151,1481764000.0,0.11837,0.16350001,0.6076187847072706,18.684565,6103387000.0,2563680000.0,10358728000.0,3160048000.0,7280009000.0,128122000.0,4345026400.0,0.28730136983402876
レアジョブ,6096,サービス業,スタンダード（内国株式）,2025-03-31,東京都,3316653056,1.788918,9715742000.0,442193000.0,0.0047,268908000.0,0.020480001,0.10877,0.3278891819684764,27.480316,3959707000.0,2440109000.0,3444468000.0,2100389000.0,2552993000.0,2524000.0,-513472200.0,-0.15481637401629988
リクルートホールディングス,6098,サービス業,プライム（内国株式）,2025-03-31,東京都,11357210542080,8.196637,3557478000000.0,490543000000.0,0.17493,408504000000.0,0.11967,0.23843001,0.5834902454755195,26.421703,1144893000000.0,802185000000.0,1470378000000.0,208940000000.0,808625000000.0,163102000000.0,439656400000.0,0.03871165356766203
エラン,6099,サービス業,プライム（内国株式）,2024-12-31,長野県,47656652800,3.7052362,47513703000.0,3577738000.0,0.06625,2354670000.0,0.046529997,0.19754,0.578629505450971,13.4241905,9104117000.0,8918601000.0,16872798000.0,76617000.0,6849398000.0,2558748000.0,9559804600.0,0.20059748300241514
ツガミ,6101,機械,プライム（内国株式）,2025-03-31,東京都,111886295040,1.7538465,107411000000.0,23310000000.0,0.27304,10901000000.0,0.10935,0.22714001,0.4940615524798517,21.228851,43192000000.0,38317000000.0,102799000000.0,11524000000.0,27729000000.0,4859000000.0,63008300000.0,0.5631458256569687
オークマ,6103,機械,プライム（内国株式）,2025-03-31,愛知県,206310670336,0.9175687,206822000000.0,14651000000.0,0.03584,9590000000.0,0.041539997,0.03648,0.7629893214563602,12.326935,60104000000.0,42737000000.0,184600000000.0,10000000000.0,53079000000.0,34033000000.0,148319100000.0,0.7189114346749287
芝浦機械,6104,機械,プライム（内国株式）,2025-03-31,東京都,95942074368,0.82836515,168191000000.0,14100000000.0,0.0298,12597000000.0,0.06725,0.09215,0.5870034618024418,8.096519,82437000000.0,71472000000.0,151150000000.0,10135000000.0,36388000000.0,11754000000.0,76940800000.0,0.8019505572172871
アマダ,6113,機械,プライム（内国株式）,2025-03-31,神奈川県,575740116992,1.1336751,396670000000.0,49076000000.0,0.05224,32386000000.0,0.073189996,0.054279998,0.7989216653254161,14.175961,126142000000.0,106809000000.0,414511000000.0,10954000000.0,104841000000.0,18033000000.0,300992100000.0,0.5227916053037214
アイダエンジニアリング,6118,機械,プライム（内国株式）,2025-03-31,神奈川県,49363341312,0.6249721,76006000000.0,5530000000.0,0.06846,5101000000.0,0.06866,0.06587,0.6807312269049828,11.805195,39226000000.0,33201000000.0,88927000000.0,3120000000.0,35856000000.0,10496000000.0,57048200000.0,1.1556794674701618
岡本工作機械製作所,6125,機械,スタンダード（内国株式）,2025-03-31,群馬県,29914910720,0.74728495,43734000000.0,3016000000.0,0.01751,2024000000.0,0.05427,0.06102,0.607179210825699,5.6853876,26242000000.0,19874000000.0,47214000000.0,11819000000.0,9899000000.0,404000000.0,21254800000.0,0.7105085553803718
ＦＵＪＩ,6134,機械,プライム（内国株式）,2025-03-31,愛知県,236372951040,1.0890703,127387000000.0,13781000000.0,0.12524,10906000000.0,0.10119,0.062800005,0.8946739312863043,14.385288,25610000000.0,22256000000.0,155427000000.0,,57580000000.0,20962000000.0,144490400000.0,0.6112814489317296
牧野フライス製作所,6135,機械,プライム（内国株式）,2025-03-31,東京都,264289304576,1.1816499,234216000000.0,18517000000.0,0.057779998,14415000000.0,0.0,0.054920003,0.6165155011620082,20.581003,140389000000.0,97610000000.0,228604000000.0,57200000000.0,64055000000.0,25226000000.0,105873200000.0,0.40059585524980906
